pdb_id,designed_chain,partner_chain,beta,replicate,structure_source,ec_sum_product_simple,ec_mean_product_simple,ec_n_pairs,ec_n_attractive,ec_n_repulsive,ec_n_neutral,ec_contact_cutoff_a,ec_weight,ec_sum_product_ph7.4_emboss,ec_mean_product_ph7.4_emboss
2OJE,D,A,0.0,0,native,-1.0,-0.3333333333333333,45,2,2,41,5.0,none,-0.8874118299849936,-0.2218529574962484
2OJE,D,A,1.5,0,native,2.0,0.3333333333333333,45,2,4,39,5.0,none,1.9984296798058467,0.33307161330097446
2OJE,D,A,3.0,0,native,7.0,0.6363636363636364,45,3,9,33,5.0,none,6.992850337761956,0.5827375281468297
1R5I,D,A,-3.0,0,native,-8.0,-0.8,48,9,2,37,5.0,none,-7.991477000020443,-0.7264979090927676
1R5I,D,A,-1.5,0,native,-5.0,-0.7142857142857143,48,6,2,40,5.0,none,-4.993803587067189,-0.6242254483833987
1R5I,D,A,0.0,0,native,2.0,0.3333333333333333,48,2,5,41,5.0,none,2.0006254549686346,0.2858036364240907
1R5I,D,A,1.5,0,native,5.0,0.7142857142857143,48,2,6,40,5.0,none,4.994338869569976,0.624292358696247
1R5I,D,A,3.0,0,native,8.0,0.8,48,2,9,37,5.0,none,7.9939001271941965,0.7267181933812906
2H9A,A,B,-3.0,0,native,11.0,0.28205128205128205,140,24,37,79,5.0,none,8.403657501060488,0.13776487706656537
2H9A,A,B,-1.5,0,native,-3.0,-0.13043478260869565,140,19,14,107,5.0,none,-5.100937676474223,-0.1545738689840674
2H9A,A,B,0.0,0,native,-4.0,-0.2222222222222222,140,19,9,112,5.0,none,-6.055553004595867,-0.21626975016413813
2H9A,A,B,1.5,0,native,-2.0,-0.09090909090909091,140,19,14,107,5.0,none,-2.0640192059951117,-0.06254603654530641
2H9A,A,B,3.0,0,native,-8.0,-0.2857142857142857,140,29,17,94,5.0,none,-5.742567238170597,-0.12483841822109994
1XVP,B,A,-3.0,0,native,-8.0,-0.26666666666666666,68,19,14,35,5.0,none,-7.993593910714111,-0.2422301185064882
1XVP,B,A,-1.5,0,native,-6.0,-0.2,68,18,15,35,5.0,none,-5.992803976788981,-0.18160012050875698
1XVP,B,A,0.0,0,native,-3.0,-0.15789473684210525,68,11,10,47,5.0,none,-2.9946776180047627,-0.1426036960954649
1XVP,B,A,1.5,0,native,0.0,0.0,68,13,15,40,5.0,none,0.004255083859148412,0.00015196728068387185
1XVP,B,A,3.0,0,native,8.0,0.26666666666666666,68,14,19,35,5.0,none,7.996428317197102,0.2423160096120334
1XV9,B,A,-3.0,0,native,-8.0,-0.2222222222222222,74,22,18,34,5.0,none,-6.994376792229569,-0.1748594198057392
1XV9,B,A,-1.5,0,native,-9.0,-0.2727272727272727,74,21,16,37,5.0,none,-7.992328216576639,-0.21600887071828753
1XV9,B,A,0.0,0,native,0.0,0.0,74,19,14,41,5.0,none,-1.223757950083865,-0.037083574244965604
1XV9,B,A,1.5,0,native,7.0,0.21212121212121213,74,17,20,37,5.0,none,5.996035521351053,0.162055014090569
1XV9,B,A,3.0,0,native,10.0,0.2777777777777778,74,17,23,34,5.0,none,8.995208182485289,0.22488020456213223
3PNL,A,B,-3.0,0,native,-18.0,-0.5625,86,25,16,45,5.0,none,-17.975781036619,-0.4384336838199756
3PNL,A,B,-1.5,0,native,-5.0,-0.3333333333333333,86,13,9,64,5.0,none,-5.106900015825046,-0.23213181890113843
3PNL,A,B,0.0,0,native,1.0,0.2,86,8,8,70,5.0,none,0.8884989343624383,0.055531183397652395
3PNL,A,B,1.5,0,native,4.0,0.2857142857142857,86,8,10,68,5.0,none,3.9970838137149,0.22206021187305
3PNL,A,B,3.0,0,native,16.0,0.5333333333333333,86,15,23,48,5.0,none,15.984207580654152,0.4206370415961619
2R9Q,B,D,-3.0,0,native,7.0,0.3684210526315789,88,10,14,64,5.0,none,6.546276108271776,0.272761504511324
2R9Q,B,D,-1.5,0,native,7.0,0.3684210526315789,88,9,14,65,5.0,none,6.658035956595572,0.28947982419980745
2R9Q,B,D,0.0,0,native,-5.0,-0.45454545454545453,88,11,5,72,5.0,none,-5.219422664748348,-0.32621391654677173
2R9Q,B,D,1.5,0,native,-5.0,-0.38461538461538464,88,10,8,70,5.0,none,-4.550010602770181,-0.2527783668205656
2R9Q,B,D,3.0,0,native,-7.0,-0.3333333333333333,88,15,11,62,5.0,none,-6.5455650263253915,-0.25175250101251506
1I8L,A,C,-3.0,0,native,-1.0,-0.1111111111111111,44,5,16,23,5.0,none,-0.9770027587032516,-0.04652394089063103
1I8L,A,C,-1.5,0,native,-2.0,-0.3333333333333333,44,5,10,29,5.0,none,-1.9878173594957418,-0.1325211572997161
1I8L,A,C,0.0,0,native,-1.0,-0.3333333333333333,44,5,7,32,5.0,none,-0.9930294696282538,-0.08275245580235448
1I8L,A,C,1.5,0,native,0.0,0.0,44,8,3,33,5.0,none,-0.009543970072430685,-0.0008676336429482442
1I8L,A,C,3.0,0,native,0.0,0.0,44,12,4,28,5.0,none,-0.01452854069445939,-0.0009080337934037119
3TFY,A,D,-3.0,0,native,0.0,0.0,29,8,2,19,5.0,none,-3.646294861670115,-0.3646294861670115
3TFY,A,D,-1.5,0,native,0.0,0.0,29,8,2,19,5.0,none,-2.7670350720924457,-0.2767035072092446
3TFY,A,D,0.0,0,native,0.0,0.0,29,4,3,22,5.0,none,1.9341139622923376,0.2763019946131911
3TFY,A,D,1.5,0,native,0.0,0.0,29,3,2,24,5.0,none,-0.06092415826399189,-0.012184831652798378
3TFY,A,D,3.0,0,native,0.0,0.0,29,4,8,17,5.0,none,5.581052248148758,0.46508768734572986
1TO9,A,B,-3.0,0,native,-2.0,-0.16666666666666666,70,11,23,36,5.0,none,-0.415637754762161,-0.012224639845945913
1TO9,A,B,-1.5,0,native,-1.0,-0.14285714285714285,70,10,12,48,5.0,none,-1.39415160216811,-0.06337052737127773
1TO9,A,B,0.0,0,native,-3.0,-0.6,70,8,5,57,5.0,none,-3.177801418939063,-0.24444626299531255
1TO9,A,B,1.5,0,native,0.0,0.0,70,10,8,52,5.0,none,-1.0742610083322013,-0.05968116712956674
1TO9,A,B,3.0,0,native,2.0,0.2,70,23,9,38,5.0,none,0.30546754905437756,0.009545860907949299
1QBK,C,B,-3.0,0,native,5.0,0.1111111111111111,127,22,28,77,5.0,none,4.954265695564852,0.09908531391129705
1QBK,C,B,-1.5,0,native,9.0,0.3103448275862069,127,14,23,90,5.0,none,8.952812697902838,0.24196791075413074
1QBK,C,B,0.0,0,native,-2.0,-0.16666666666666666,127,8,8,111,5.0,none,-1.9233405028651251,-0.12020878142907032
1QBK,C,B,1.5,0,native,-7.0,-0.22580645161290322,127,21,15,91,5.0,none,-6.953712999207089,-0.19315869442241915
1QBK,C,B,3.0,0,native,-4.0,-0.09090909090909091,127,26,23,78,5.0,none,-3.9498806949712093,-0.08060981010145325
